STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
100	70	2	26.2	13.8	2019-09-14	9:39	
100	70	3	16.9	14.1	2019-09-14	9:39	
100	70	4	22.3	14.1	2019-09-14	9:39	
100	70	5	20.8	13.8	2019-09-14	9:39	
100	70	6	19.3	13.8	2019-09-14	9:39	
100	71	1	21.3	14	2019-09-14	9:42	
100	71	2	19.8	13.7	2019-09-14	9:42	
100	71	3	21.8	13.9	2019-09-14	9:42	
100	71	4	14.9	14.1	2019-09-14	9:42	
100	71	5	19.8	13.9	2019-09-14	9:42	
100	71	6	22.8	13.7	2019-09-14	9:42	
100	72	1	22.3	13.9	2019-09-14	9:45	
100	72	2	21.8	13.9	2019-09-14	9:45	
100	72	3	16.9	13.6	2019-09-14	9:45	
100	72	4	23.8	13.7	2019-09-14	9:45	
100	72	5	16.4	13.9	2019-09-14	9:45	
100	72	6	15.4	13.9	2019-09-14	9:45	
6	76	1	32.1	13.8	2019-09-14	10:47	
6	76	2	24.7	14	2019-09-14	10:47	
6	76	3	26.7	13.7	2019-09-14	10:47	
6	76	4	27.2	13.8	2019-09-14	10:47	
6	76	5	29.2	14	2019-09-14	10:47	
6	76	6	38.5	13.6	2019-09-14	10:47	
6	7	1	30.1	13.7	2019-09-14	10:49	
6	7	2	27.7	14.1	2019-09-14	10:49	
6	7	3	28.2	13.9	2019-09-14	10:49	
6	7	4	26.2	13.8	2019-09-14	10:49	
6	7	5	28.2	14	2019-09-14	10:49	
6	7	6	30.6	13.7	2019-09-14	10:49	
6	8	1	30.6	13.7	2019-09-14	10:51	
6	8	2	27.7	13.9	2019-09-14	10:51	
6	8	3	20.8	13.9	2019-09-14	10:51	
6	8	4	30.6	13.7	2019-09-14	10:51	
6	8	5	25.7	13.7	2019-09-14	10:51	
6	8	6	30.6	14.1	2019-09-14	10:51	
6	9	1	29.2	14	2019-09-14	10:54	Root bag 17 found uncovered
6	9	2	23.8	13.6	2019-09-14	10:54	Root bag 17 found uncovered
6	9	3	25.2	13.6	2019-09-14	10:54	Root bag 17 found uncovered
6	9	4	31.6	13.8	2019-09-14	10:54	Root bag 17 found uncovered
6	9	5	25.2	13.7	2019-09-14	10:54	Root bag 17 found uncovered
6	9	6	20.3	13.9	2019-09-14	10:54	Root bag 17 found uncovered
6	10	1	25.2	14	2019-09-14	10:57	
6	10	2	25.2	13.9	2019-09-14	10:57	
6	10	3	23.8	14	2019-09-14	10:57	
6	10	4	20.3	13.9	2019-09-14	10:57	
6	10	5	19.8	13.6	2019-09-14	10:57	
6	10	6	22.3	14.1	2019-09-14	10:57	
6	11	1	20.8	14	2019-09-14	10:59	
6	11	2	21.3	13.7	2019-09-14	10:59	
6	11	3	25.7	13.9	2019-09-14	10:59	
6	11	4	28.7	13.8	2019-09-14	10:59	
6	11	5	21.8	13.7	2019-09-14	10:59	
6	11	6	28.2	14.1	2019-09-14	10:59	
6	12	1	30.6	13.7	2019-09-14	11:01	
6	12	2	28.7	13.9	2019-09-14	11:01	
6	12	3	35.1	13.8	2019-09-14	11:01	
6	12	4	33.6	13.8	2019-09-14	11:01	
6	12	5	32.6	14.2	2019-09-14	11:01	
6	12	6	30.1	13.8	2019-09-14	11:01	
7	77	1	14.9	14.2	2019-09-14	11:19	
7	77	2	11.5	14.5	2019-09-14	11:19	
7	77	3	16.9	14.7	2019-09-14	11:19	
7	77	4	12.5	14.5	2019-09-14	11:19	
7	77	5	18.9	14.3	2019-09-14	11:19	
7	77	6	13.9	14	2019-09-14	11:19	
7	13	1	14.9	14.2	2019-09-14	11:21	
7	13	2	10.5	14.2	2019-09-14	11:21	
7	13	3	13.9	14.4	2019-09-14	11:21	
7	13	4	13	14.6	2019-09-14	11:21	
7	13	5	19.8	14.4	2019-09-14	11:21	
7	13	6	28.2	14.4	2019-09-14	11:21	
7	14	1	13	14.2	2019-09-14	11:24	
7	14	2	13.5	14.2	2019-09-14	11:24	
7	14	3	12.5	14.1	2019-09-14	11:24	
7	14	4	13	14.3	2019-09-14	11:24	
7	14	5	17.9	14.7	2019-09-14	11:24	
7	14	6	13.9	14.4	2019-09-14	11:24	
7	15	1	19.3	14.6	2019-09-14	11:26	
7	15	2	13.9	14.2	2019-09-14	11:26	
7	15	3	13.5	14.3	2019-09-14	11:26	
7	15	4	15.9	14.1	2019-09-14	11:26	
7	15	5	17.4	14.1	2019-09-14	11:26	
7	15	6	13.5	14.5	2019-09-14	11:26	
7	16	1	13.9	14.2	2019-09-14	11:28	
7	16	2	13	14.5	2019-09-14	11:28	
7	16	3	13	14.3	2019-09-14	11:28	
7	16	4	14.4	14.2	2019-09-14	11:28	
7	16	5	13.5	14.5	2019-09-14	11:28	
7	16	6	14.9	14.1	2019-09-14	11:28	
7	17	1	14.9	14.5	2019-09-14	11:31	
7	17	2	12.5	14.4	2019-09-14	11:31	
7	17	3	13.5	14.3	2019-09-14	11:31	
7	17	4	13.5	14.6	2019-09-14	11:31	
7	17	5	15.4	14.2	2019-09-14	11:31	
7	17	6	13.9	14.3	2019-09-14	11:31	
7	18	1	15.9	14.2	2019-09-14	11:33	
7	18	2	13.9	14.5	2019-09-14	11:33	
7	18	3	12	14.4	2019-09-14	11:33	
7	18	4	16.4	14.3	2019-09-14	11:33	
7	18	5	13.5	14.6	2019-09-14	11:33	
7	18	6	14.9	14.2	2019-09-14	11:33	
24	81	1	22.8	14.3	2019-09-14	11:55	
24	81	2	19.8	14.1	2019-09-14	11:55	
24	81	3	18.9	14.4	2019-09-14	11:55	
24	81	4	20.8	14.2	2019-09-14	11:55	
24	81	5	27.2	14.5	2019-09-14	11:55	
24	81	6	26.2	14.3	2019-09-14	11:55	
24	37	1	24.3	14.5	2019-09-14	11:57	
24	37	2	21.8	14.2	2019-09-14	11:57	
