STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES	NOTES.2
6	9	1	24.3	8.4	10/20/19	9:09 AM	6.6 M 	
6	9	2	26.7	8.1	10/20/19	9:09 AM	115 degrees	
6	9	3	27.2	8.4	10/20/19	9:09 AM		
6	9	4	21.8	8.2	10/20/19	9:09 AM		
6	9	5	22.8	8.2	10/20/19	9:09 AM		
6	9	6	29.2	8.1	10/20/19	9:09 AM		
6	10	1	20.3	8.6	10/20/19	9:13 AM	11.6 M 	
6	10	2	25.2	8.3	10/20/19	9:13 AM	172 degrees	
6	10	3	24.3	8.4	10/20/19	9:13 AM		
6	10	4	23.3	8.3	10/20/19	9:13 AM		
6	10	5	18.9	8.5	10/20/19	9:13 AM		
6	10	6	24.3	8.3	10/20/19	9:13 AM		
6	11	1	23.8	8.1	10/20/19	9:17 AM	14.75 M 	
6	11	2	19.3	8.3	10/20/19	9:17 AM	228 degrees	
6	11	3	26.2	8.1	10/20/19	9:17 AM		
6	11	4	25.2	8.1	10/20/19	9:17 AM		
6	11	5	24.3	8.4	10/20/19	9:17 AM		
6	11	6	20.3	8.4	10/20/19	9:17 AM		
6	12	1	31.6	8.4	10/20/19	9:21 AM	12.9 M 	
6	12	2	26.7	8.1	10/20/19	9:21 AM	298 degrees	
6	12	3	31.6	8.1	10/20/19	9:21 AM		
6	12	4	35.1	8.1	10/20/19	9:21 AM		
6	12	5	25.2	8.1	10/20/19	9:21 AM		
6	12	6	33.1	8.3	10/20/19	9:21 AM		
