STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
22	80	1	15.4	15.9	2019-08-09	9:50	
22	80	2	14.9	15.6	2019-08-09	9:50	
22	80	3	14.4	15.7	2019-08-09	9:50	
22	80	4	14.4	15.8	2019-08-09	9:50	
22	80	5	10.5	15.7	2019-08-09	9:50	
22	80	6	14.4	15.9	2019-08-09	9:50	
22	31	1	10.5	16.2	2019-08-09	9:55	
22	31	2	15.4	16	2019-08-09	9:55	
22	31	3	12	16.2	2019-08-09	9:55	
22	31	4	13.9	16.1	2019-08-09	9:55	
22	31	5	13	16.2	2019-08-09	9:55	
22	31	6	12.5	16.3	2019-08-09	9:55	
22	32	1	22.8	16.1	2019-08-09	9:59	
22	32	2	21.3	15.7	2019-08-09	9:59	
22	32	3	17.4	15.9	2019-08-09	9:59	
22	32	4	22.8	15.7	2019-08-09	9:59	
22	32	5	19.3	15.7	2019-08-09	9:59	
22	32	6	21.3	15.9	2019-08-09	9:59	
22	33	1	22.3	15.7	2019-08-09	10:05	
22	33	2	14.4	16.1	2019-08-09	10:05	
22	33	3	17.9	15.9	2019-08-09	10:05	
22	33	4	13.5	16.3	2019-08-09	10:05	
22	33	5	19.3	15.8	2019-08-09	10:05	
22	33	6	19.3	15.8	2019-08-09	10:05	
22	34	1	15.9	15.6	2019-08-09	10:09	
22	34	2	16.4	15.6	2019-08-09	10:09	
22	34	3	11.5	15.5	2019-08-09	10:09	
22	34	4	15.4	15.5	2019-08-09	10:09	
22	34	5	16.4	15.8	2019-08-09	10:09	
22	34	6	12.5	15.5	2019-08-09	10:09	
22	35	1	13.5	15.7	2019-08-09	10:14	
22	35	2	17.4	15.4	2019-08-09	10:14	
22	35	3	22.8	15.7	2019-08-09	10:14	
22	35	4	16.9	15.8	2019-08-09	10:14	
22	35	5	16.9	15.7	2019-08-09	10:14	
22	35	6	19.3	15.9	2019-08-09	10:14	
22	36	1	16.9	15.9	2019-08-09	10:18	
22	36	2	21.8	16	2019-08-09	10:18	
22	36	3	17.4	15.9	2019-08-09	10:18	
22	36	4	17.9	15.9	2019-08-09	10:18	
22	36	5	18.4	16.2	2019-08-09	10:18	
22	36	6	15.9	16	2019-08-09	10:18	
41	83	1	6.6	16.6	2019-08-09	12:19	
41	83	2	6.6	16.2	2019-08-09	12:19	
41	83	3	9	16.2	2019-08-09	12:19	
41	83	4	8.1	16.2	2019-08-09	12:19	
41	83	5	8.1	16.5	2019-08-09	12:19	
41	83	6	7.6	16.3	2019-08-09	12:19	
41	49	1	8.5	16.3	2019-08-09	12:24	
41	49	2	7.6	16.1	2019-08-09	12:24	
41	49	3	7.1	16.1	2019-08-09	12:24	
41	49	4	8.1	16.3	2019-08-09	12:24	
41	49	5	9	16	2019-08-09	12:24	
41	49	6	8.1	16.4	2019-08-09	12:24	
41	50	1	8.1	16.2	2019-08-09	12:29	
41	50	2	6.1	16.6	2019-08-09	12:29	
41	50	3	6.1	16.4	2019-08-09	12:29	
41	50	4	6.1	16.2	2019-08-09	12:29	
41	50	5	8.1	16.1	2019-08-09	12:29	
41	50	6	4.6	16.3	2019-08-09	12:29	
41	51	1	4.1	16.1	2019-08-09	12:33	
41	51	2	5.6	16.5	2019-08-09	12:33	
41	51	3	7.6	16.3	2019-08-09	12:33	
41	51	4	5.6	16.1	2019-08-09	12:33	
41	51	5	4.6	16.4	2019-08-09	12:33	
41	51	6	7.6	16.2	2019-08-09	12:33	
41	52	1	8.5	15.9	2019-08-09	12:37	
