PLOT	STAND	VWC.PLOT.MEAN	TEMP.PLOT.MEAN	VWC.LOGGER	TEMP.LOGGER	DATE.TIME.PLOT	DATE.TIME.LOGGER	JULIAN
Plot_77	Stand_7	14.766666666666666	14.366666666666667	0.2505	14.361	2019-09-14T11:19:00Z	2019-09-14T11:44:44Z	257
Plot_43	Stand_9	20.316666666666666	15.283333333333333	0.266	15.557	2019-09-14T13:36:00Z	2019-09-14T13:28:44Z	257
Plot_44	Stand_9	19.833333333333332	15.283333333333333	0.266	15.557	2019-09-14T13:38:00Z	2019-09-14T13:28:44Z	257
Plot_45	Stand_9	20.566666666666666	15.233333333333334	0.266	15.557	2019-09-14T13:40:00Z	2019-09-14T13:28:44Z	257
Plot_46	Stand_9	19.816666666666666	15.316666666666666	0.266	15.557	2019-09-14T13:42:00Z	2019-09-14T13:28:44Z	257
Plot_47	Stand_9	18.116666666666667	15.516666666666667	0.266	15.557	2019-09-14T13:46:00Z	2019-09-14T13:28:44Z	257
Plot_48	Stand_9	15.5	15.783333333333333	0.266	15.557	2019-09-14T13:48:00Z	2019-09-14T13:28:44Z	257
Plot_82	Stand_9	21.4	15.266666666666666	0.266	15.557	2019-09-14T13:33:00Z	2019-09-14T13:28:44Z	257
Plot_67	Stand_100	16.966666666666665	8.9	0.2344	9.04	2019-10-20T14:02:00Z	2019-10-20T13:30:03Z	293
Plot_68	Stand_100	15.916666666666666	8.983333333333334	0.2344	9.04	2019-10-20T14:05:00Z	2019-10-20T13:30:03Z	293
Plot_69	Stand_100	18.7	8.983333333333334	0.2344	9.04	2019-10-20T14:09:00Z	2019-10-20T13:30:03Z	293
Plot_70	Stand_100	22.866666666666667	8.95	0.2344	9.04	2019-10-20T14:12:00Z	2019-10-20T13:30:03Z	293
Plot_71	Stand_100	23.05	9.133333333333333	0.2344	9.04	2019-10-20T14:15:00Z	2019-10-20T13:30:03Z	293
Plot_72	Stand_100	19.75	8.966666666666667	0.2344	9.04	2019-10-20T14:19:00Z	2019-10-20T13:30:03Z	293
