PLOT.ID	PLOT	SITE	N.MIN	GRAV	SPEC.TOTAL.C	SPEC.TOTAL.N	SOIL.CN	SOIL.PH	LON	LAT
Plot_100-1	1	Site_100	0.5266320274064695	0.11117123381825084	17.422499999999996	1.12145	15.535690400820366	4.4	-85.48411083956569	44.34696882821979
Plot_100-2	2	Site_100	0.7647350751740051	0.13146580824213852	19.0705	1.2531999999999999	15.217443345036708	4.23	-85.48395844102245	44.34695853406452
Plot_100-3	3	Site_100	1.0272484486037496	0.13002933184642243	20.309	1.45015	14.004758128469469	4.44	-85.48402456679248	44.34687044064331
Plot_100-4	4	Site_100	0.8605032163994947	0.15437111962584096	25.705	1.8787500000000001	13.681969394544243	4.74	-85.48403334034626	44.346772923515175
Plot_100-5	5	Site_100	0.6647342550466399	0.148190989807039	27.6215	1.71265	16.12793040025691	5.18	-85.48422904052552	44.34679866420515
Plot_100-6	6	Site_100	0.5635841060637173	0.14284030209565335	22.831	1.7140499999999999	13.319914821621307	5.38	-85.48426825582916	44.346953889739154
Plot_20-1	1	Site_20	0.31304785489899145	0.20244661776732303	38.2925	1.4388999999999998	26.612342761831957	3.78	-86.0915280978813	44.19487053273245
Plot_20-2	2	Site_20	0.19662365135146512	0.1449315628513851	19.5475	0.7728	25.294384057971016	4	-86.09139229679337	44.19488510875061
Plot_20-3	3	Site_20	0.07870752320023004	0.11769463681199921	17.7925	0.6887	25.834906345288225	4.1	-86.09139568673237	44.19476620778068
Plot_20-4	4	Site_20	0.3402573482386656	0.15815481187062636	16.6045	0.6519999999999999	25.467024539877304	4.17	-86.09155284821315	44.194656186824844
Plot_20-5	5	Site_20	0.1687302424188251	0.1569654099360775	24.576500000000003	0.9851999999999999	24.94569630531872	4.12	-86.0917136711593	44.19473559247737
Plot_20-6	6	Site_20	0.17251613273483218	0.12513073003024064	19.1105	0.7261000000000001	26.31937749621264	4.05	-86.09156837299031	44.19482342153834
Plot_22-1	1	Site_22	1.1913378351991657	0.27128349475053637	67.208	5.22205	12.870041458814066	6.34	-85.70713711334635	44.37104864133188
Plot_22-2	2	Site_22	0.8428716571097618	0.2500497002021999	43.811499999999995	3.4539	12.684646341816498	5.9	-85.70704160685413	44.370976706238935
Plot_22-3	3	Site_22	0.6936548505382832	0.24869738139609	46.73550000000001	4.006950000000001	11.663609478531054	6.22	-85.70698909315628	44.37092073343303
Plot_22-4	4	Site_22	0.7341485600413531	0.19201221712593472	32.414500000000004	2.5156	12.885395134361584	5.8	-85.7070610334297	44.37082902119909
Plot_22-5	5	Site_22	0.8262951754382917	0.25270322456530947	47.800000000000004	3.83845	12.452943245320379	5.69	-85.70720174540692	44.37088223147914
Plot_22-6	6	Site_22	0.6795316103888243	0.2402620136520576	40.92	3.4608	11.823855755894591	5.63	-85.70719123655027	44.370961112186215
Plot_24-1	1	Site_24	0.7372831483711165	0.18257185972902418	25.455000000000002	1.75695	14.48817553146077	4.79	-85.75349378362428	44.222553471839745
Plot_24-2	2	Site_24	0.9343798800583764	0.17673573335691053	23.5935	1.63635	14.41837015308461	4.75	-85.75342035889494	44.222529409041094
Plot_24-3	3	Site_24	0.4695163120371465	0.167444235929722	19.299	1.34615	14.33644096125989	4.96	-85.75342160980864	44.2224540364351
Plot_24-4	4	Site_24	0.5267437266710145	0.19061377759295856	27.431	1.6420000000000001	16.705846528623628	5.29	-85.75347498247838	44.222385412906576
Plot_24-5	5	Site_24	0.43327826158087424	0.1778194936023093	23.8185	1.6465999999999998	14.465261751487917	5.65	-85.75352849277732	44.22248554121596
Plot_24-6	6	Site_24	0.604500653132952	0.17824875536301577	23.346	1.70635	13.6818354968207	5.28	-85.75353480684836	44.222523129824346
Plot_3-1	1	Site_3	0.35289866732977215	0.1464411014417728	24.313000000000002	1.0153999999999999	23.94425842032697	4.03	-86.17791408596399	44.264243844169755
Plot_3-2	2	Site_3	0.3222083173454131	0.12765429575025988	21.5545	0.845	25.508284023668644	3.97	-86.17777063491195	44.26428370342632
Plot_3-3	3	Site_3	0.1680898885185295	0.11888611799786225	18.4805	0.6833	27.04595346114445	3.87	-86.17775937431286	44.26413928036159
Plot_3-4	4	Site_3	0.22831474910561836	0.1153470968010356	16.933	0.6838	24.76308862240421	4.03	-86.17792348667264	44.26410428210203
Plot_3-5	5	Site_3	0.2778228284278699	0.14635816172621233	26.824000000000005	1.0995	24.39654388358345	3.94	-86.17811065251838	44.26414490347956
Plot_3-6	6	Site_3	0.3976042246841433	0.188954216344987	36.6095	1.1588	31.59259578874698	3.79	-86.17806475643387	44.26424309197953
Plot_31-1	1	Site_31	0.26179966242387376	0.17426269369981573	34.114	1.18595	28.765125005270036	3.88	-85.99252569181488	44.27199608996058
Plot_31-2	2	Site_31	0.2979839818649189	0.1375912635174696	21.399999999999995	0.8052999999999999	26.573947597168754	4.01	-85.99238969239182	44.272005599684114
Plot_31-3	3	Site_31	0.4054379676103518	0.14640825704091454	25.604000000000003	0.96095	26.644466413445027	3.93	-85.99243982270454	44.27191150250995
Plot_31-4	4	Site_31	0.27555035723725585	0.1523413316518275	25.176	0.9851999999999999	25.554202192448233	3.9	-85.99250777735651	44.27182919594669
Plot_31-5	5	Site_31	0.20295991457920548	0.1701285674713393	27.940500000000004	1.0294500000000002	27.141191898586627	3.9	-85.99264888303969	44.27187941713579
Plot_31-6	6	Site_31	0.25908267905165033	0.1353652959874976	21.226000000000003	0.8892	23.870895186684663	4.26	-85.9926787077295	44.272003787461855
