Compound	Type	Source	3-1_R	3-2_R	3-3_R	6-1_R	6-2_R	6-3_R	7-1_R	7-2_R	7-3_R	9-1_R	9-2_R	9-3_R	20-1_R	20-2_R	20-3_R	22-1_R	22-2_R	22-3_R	24-1_R	24-2_R	24-3_R	31-1_R	31-2_R	31-3_R	41-1_R	41-2_R	41-3_R	50-1_R	50-2_R	50-3_R	58-1_R	58-2_R	58-3_R	100-1_R	100-2_R	100-3_R	MS-1_S	MS-2_S	MS-3_S	MS-4_S	MS-5_S	MS-6_S	MS-7_S	MS-8_S	MS-9_S	MS-10_S	MS-11_S	MS-12_S	MS-13_S	MS-14_S	MS-15_S	MS-16_S	MS-17_S	MS-18_S	MS-19_S	MS-20_S	MS-21_S	MS-22_S	MS-23_S	MS-24_S	MS-25_S	MS-26_S	MS-27_S	MS-28_S	MS-29_S	MS-30_S	MS-31_S	MS-32_S	MS-33_S	MS-34_S	MS-35_S	MS-36_S	MS-37_S	MS-38_S	MS-39_S	MS-40_S	MS-41_S	MS-42_S	MS-43_S	MS-44_S	MS-45_S	MS-46_S	MS-47_S	MS-48_S	MS-49_S	MS-50_S	MS-51_S	MS-52_S	MS-53_S	MS-54_S	MS-55_S	MS-56_S	MS-57_S	MS-58_S	MS-59_S	MS-60_S	MS-61_S	MS-62_S	MS-63_S	MS-64_S	MS-65_S	MS-66_S	MS-67_S	MS-68_S	MS-69_S	MS-70_S	MS-71_S	MS-72_S
n-Octane	Aliphatic	Lipid	0	0.003250067	0	0	0.002809556	0.001778388	0.002290934	0.00193132	0.002337478	0.001965936	0.002186402	0.002069943	0.001896593	0	0.002506318	0	0.001444189	0.001953326	0.002055236	0.001402683	0	0	0	0.002985294	0.00269055	0.001573215	0.002548301	0.001797516	0.001249315	0.00258228	0.002105392	0.002267326	0	0.00207671	0.001995636	0	0	0	0.010618141	0	0.00335969	0	0	0	0	0	0	0	0.002524651	0	0	0	0.002214511	0	0	0	0	0	0	0.003614406	0	0.00317787	0	0	0	0.002834189	0	0	0	0	0.002625113	0	0	0	0.002539253	0	0	0.001833143	0.001708799	0	0	0.003127607	0.003488352	0.002100568	0.00331619	0.003361337	0.004050468	0.006290283	0.003757175	0.003602276	0.003606752	0	0.00245813	0.004305999	0.004405266	0.002755527	0.003651181	0.003766148	0.004249461	0.003384037	0	0	0.004066455	0.002552565	0	0	0.001815458	0.001777853
n-Pentacosane (C25)	Aliphatic	Lipid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004161689	0	0	0	0.003167936	0	0.008492196	0.009431591	0.000420117	0	0.010744443	0	0	0	0	0	0	0	0	0	0	0	0	0.001564755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005113505	0	0	0	0	0	0	0	0.011982382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n-Pentadecane	Aliphatic	Lipid	0.002024648	0.002331969	0.002048089	0.001063631	0.001175945	0.001173736	0.001906825	0.001590499	0.001726373	0.001357636	0.001478306	0.00091722	0.001293898	0.002389038	0.001726206	0.001360238	0.001550728	0.001297278	0.001191103	0.001149216	0.001341803	0.002197768	0.001782385	0.00168262	0.001404265	0.001651876	0.001302719	0.002000714	0.00159925	0.001932319	0.001418851	0.00187763	0.001904184	0	0.001104342	0.00121483	0.005071054	0.003088127	0.006475899	0.008255201	0.002993178	0.003010727	0.003803923	0.003994215	0	0.003982227	0.003544309	0.00430753	0.005269474	0.007244504	0.004442787	0.006774828	0.006319115	0.006203266	0.005939725	0.005345493	0.006170295	0.00689931	0.005510771	0.006446312	0.003521481	0.004766805	0.004739193	0.003895157	0.005041213	0.00524589	0.003034304	0.004160161	0.005358693	0.00408221	0.004830208	0.004927212	0.003189048	0.003629034	0.003956511	0.003130215	0.003384532	0.00354224	0.003235811	0.005082247	0.005064932	0.004737136	0.004138143	0.005504266	0.006521099	0.007070999	0.006158178	0.006041387	0.003812428	0.00570504	0.007992852	0.007102622	0.003584773	0.005493167	0.005506582	0.004413831	0.006843356	0.005550112	0.007480618	0.008639693	0.007766282	0.00727794	0.005390418	0.006056397	0.006888444	0.006663034	0.003058474	0.005056681
n-Tetracosane	Aliphatic	Lipid	0	0	0	0	0	0	0	0	0	0	0	0.008069059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005095152	0.006775495	0.003604031	0.002913997	0	0	0	0	0	0	0	0.005550085	0	0	0.004457233	0	0.005200953	0	0	0	0.002885141	0	0.001484666	0	0.003546443	0.003369764	0	0	0.003533454	0	0	0	0	0.003850678	0	0	0	0	0	0	0.002072373	0.003854426	0.003842362	0	0.003368653	0.002431213	0	0.005503536	0	0	0	0.004515772	0.007086633	0.005317861	0.003233612	0.004507214	0	0.004139525	0.004193642	0.001867216	0.004993606	0.005558139	0.005544321	0.00468442	0	0.00399532	0	0	0	0
n-Tricosane (C23)	Aliphatic	Lipid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002075958	0	0	0	0	0	0	0	0.002005885	0	0.00332882	0	0	0	0	0	0	0	0	0	0	0	0	0.002253268	0.001510584	0.001661363	0	0.001874322	0.001785077	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007923246	0	0.005480046	0	0	0.003998699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n-Tridecane	Aliphatic	Lipid	0.001107688	0.000976856	0.000766268	0	0	0.000797955	0.001260699	0.001170153	0.001141239	0.000765006	0.000821143	0.001222134	0.001896593	0.000809088	0.001045682	0	0	0	0	0.000721028	0	0.001329495	0	0	0	0.000652884	0.002651147	0	0	0.002072851	0	0.001133663	0	0	0	0	0.002316807	0.003335838	0.003967218	0.003790124	0.003512403	0.0018016	0.002363952	0.00222085	0.00191891	0.003248659	0.00199795	0.002238463	0.003772298	0.005100546	0.002983961	0.003864035	0.003483977	0.003674242	0.003516554	0.003902622	0.003984405	0.005074095	0.003907915	0.004899942	0.002588963	0.002521571	0.002878503	0.002427679	0.003199231	0.003063036	0.002705916	0.002687896	0.003046162	0.002017279	0.002913876	0.003243403	0.001937433	0.003762891	0.002701647	0.001748042	0.005209237	0.002439597	0.001781514	0.003419249	0.003370799	0.003310508	0.003539651	0.00322865	0.005096695	0.005938942	0.00500352	0.004751653	0.003112562	0.004015935	0.005147324	0.003860912	0.002399603	0.003199317	0.004052845	0.00321686	0.004256234	0.003567929	0.004092799	0.005822813	0.004782506	0.005166935	0.003574698	0.003630668	0.003750201	0.003241031	0.001962657	0.003730577
n-Undecane	Aliphatic	Lipid	0.001129695	0.001344096	0.00151488	0.001432061	0.000977624	0	0.002222343	0.00112045	0.001986093	0.001595542	0	0.00091846	0.001244727	0.001783815	0.001294654	0.001522331	0.000690133	0.00277507	0.000701816	0.00072718	0.000342269	0.001702496	0.001947455	0.001054804	0	0.000790541	0.001748386	0.000939398	0.003103494	0	0.001329143	0.001123035	0.002008319	0.001847463	0	0.000799157	0.000857057	0	0.005756355	0.006152461	0.001985271	0	0	0.002055115	0	0	0	0	0.002671433	0.007296374	0.003149737	0.003966168	0.003371135	0.002783517	0.002940312	0.003201799	0.005395549	0.004544783	0.002869875	0.003446728	0.002404914	0.003281496	0.002162853	0.005978613	0.004827931	0.003714372	0	0	0	0	0.001303369	0.005727711	0	0.001918628	0.002893568	0	0.004193877	0	0	0.004942369	0	0.004609105	0.00213747	0.002742408	0.003516497	0.004284398	0.003848861	0.004615891	0.002688959	0.003223089	0.006470404	0.004370844	0.001624122	0.003360289	0.005792925	0.001571025	0.008700242	0.002794878	0.003564064	0.006182012	0.003978368	0.007559407	0.002893803	0.002092787	0.002385065	0.001661646	0	0.003366263
Propene	Aliphatic	Lipid	0	0	0.000851016	0.000745974	0.000995422	0	0.001220917	0.001053705	0.002016648	0.000896068	0.000889468	0.000789553	0	0.000871203	0.00115191	0	0.001325813	0.000894489	0.000823262	0.000997874	0.000826355	0.000441101	0	0.000998717	0.000997086	0.00091902	0.000819341	0.001062879	0.000992801	0.000894137	0.000497971	0	0.000965481	0.000880579	0.000815784	0.000988099	0.00123293	0.000903318	0.001104598	0	0.001101062	0.000827043	0.002399951	0.001340796	0.002245533	0.001357101	0.000266849	0.002165865	0.000896838	0.001082353	0.000167433	0.000830682	0.001203171	0.00016383	0.001580972	0.00099352	0.001632499	0.000799444	0.001216644	0.001317209	0.000830677	0	0.00124046	0.000590614	0	0.002253268	0.00116512	0.000786108	0.002344428	0.001810786	0.001284993	0.001254576	0.002057451	0.001874009	0.002243991	0.001612535	0.001090408	0.001433435	0.00084834	0.001086389	0.000922167	0.001102893	0	0.00130702	0.002049806	0.002159615	0.001270124	0.001936864	0.002062763	0.001740813	0.001718191	0	0.000839861	0	0.001200435	0.000756835	0.001157946	0.001209132	0	0.001499185	0.001350106	0.001710919	0.00063361	0.001886679	0.001710343	0.000370169	0.001362411	0.001385851
" Hepta-2,4-dienoic acid, methyl ester"	FAME	Lipid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00091653	0	0.001783435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000540046	0	0	0	0	0	0.001865271	0.001733463	0.001481971	0.000436259	0	0	0	0	0.001580466	0	0	0	0	0	0	0	0	0	0.000271986	0	0.000279839	0	0	0	0	0	0	0	0	0	0.000426157	0	0	0	0	0	0	0	0	0.00066024	0	0	0	0.000172603	0	0.002551454	0
"2-Butenedioic acid, 2-methyl-, (E)-"	FAME	Lipid	0	0	0	0	0	0	0	0	0	0.000283494	0	0	0.001980886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001976577	0.00208077	0.002139186	0.002297438	0.001908915	0	0.000679186	0.000772325	0.001086021	0.001023502	0.001186454	0.000320645	0.000851336	0.000475475	0.000717808	0.000275759	0.0008181	0.000870048	0	0.000570277	0	0	0	0	0	0	0	0	0	0	0.000311312	0.000698313	0.000577335	0.000522586	0.00139131	0.000501002	0.001075018	0.000480401	0.001226814	0.001012238	0.000931482	0.001142613	0	0	0	0	0	0	0	0.000360516	0	0	0	0.001592585	0	0	0	0	0	0	0	0	0	0.000693822	0	0.001328928	0	0.000619909	0.001234899	0.001452706	0.000271501	0.001269271
