Compound	Type	Source	3-1_R	3-2_R	3-3_R	6-1_R	6-2_R	6-3_R	7-1_R	7-2_R	7-3_R	9-1_R	9-2_R	9-3_R	20-1_R	20-2_R	20-3_R	22-1_R	22-2_R	22-3_R	24-1_R	24-2_R	24-3_R	31-1_R	31-2_R	31-3_R	41-1_R	41-2_R	41-3_R	50-1_R	50-2_R	50-3_R	58-1_R	58-2_R	58-3_R	100-1_R	100-2_R	100-3_R	MS-1_S	MS-2_S	MS-3_S	MS-4_S	MS-5_S	MS-6_S	MS-7_S	MS-8_S	MS-9_S	MS-10_S	MS-11_S	MS-12_S	MS-13_S	MS-14_S	MS-15_S	MS-16_S	MS-17_S	MS-18_S	MS-19_S	MS-20_S	MS-21_S	MS-22_S	MS-23_S	MS-24_S	MS-25_S	MS-26_S	MS-27_S	MS-28_S	MS-29_S	MS-30_S	MS-31_S	MS-32_S	MS-33_S	MS-34_S	MS-35_S	MS-36_S	MS-37_S	MS-38_S	MS-39_S	MS-40_S	MS-41_S	MS-42_S	MS-43_S	MS-44_S	MS-45_S	MS-46_S	MS-47_S	MS-48_S	MS-49_S	MS-50_S	MS-51_S	MS-52_S	MS-53_S	MS-54_S	MS-55_S	MS-56_S	MS-57_S	MS-58_S	MS-59_S	MS-60_S	MS-61_S	MS-62_S	MS-63_S	MS-64_S	MS-65_S	MS-66_S	MS-67_S	MS-68_S	MS-69_S	MS-70_S	MS-71_S	MS-72_S
2H-1-Benzopyran-2-one	Aromatic	Aromatic	0	0	0	0	0.000143656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000200559	0	0	0.000736323	0	0	0	0	0	0.000411688	0.000256471	0	0	0	0	0	0	0	0	0.0006437	0.000347861	0.000513116	0	0.000409192	0.000319869	0.000555259	0.000489045	0.000911394	0.000208117	0	0	0	0	0	0.000486718	0.00051714	0	0	0	0.000126702	0	0.000346013	0	0	0.000514523	0	0	7.04064E-05	0	6.3156E-05	0	0	0	0	0	0.000206683	0.000237138	0.000313437	0.000190206	0	0.000317058	0	0	0.00013543	0	0	0	0	8.98289E-05	0	0	0	0	0	0	0.000922903	0.000728157	0	0	0	0	0	0	0	0.000418557	0	0	0.001002591	0.00022296
Acetophenone	Aromatic	Aromatic	0.00365317	0.003856012	0.003301661	0	0	0.002226851	0	0.004473278	0.005698558	0.005356463	0.004683372	0.002218681	0.000990443	0.003790607	0.006207701	0.005430927	0.003788038	0.003556401	0.004390732	0.003826618	0.005345396	0	0.005452873	0.0054459	0.007165207	0.005834007	0.005245157	0.004501606	0.004227719	0.00349574	0.000371647	0.004410658	0	0.008778819	0.004948637	0.004520624	0.001062815	0.002543164	0.005600778	0.008047523	0.004703566	0.002647989	0.005675884	0.005320095	0.003783382	0.009728512	0.004488545	0.011035019	0.011551744	0.008195453	0.006780223	0.004732166	0.005670278	0.004914895	0.005348708	0.006444823	0.001632499	0.008669767	0.005526037	0.008290777	0.002478533	0.00200344	0.007856245	0.006123549	0.004983045	0.005650774	0	0	0	0.003256237	0.006759667	0	0.005417953	0.004060353	0	0.006612749	0.004959076	0.003735202	0.005320303	0.005626218	0.005990591	0.006511275	0.005489024	0.006165555	0.006142741	0.006008607	0.006781327	0.00932229	0.006869737	0.005567154	0.008101598	0.007466859	0.007974291	0.006378512	0.006013188	0.003690661	0.011141317	0.006580847	0.008107267	0.010265543	0.008168351	0.00727794	0.010364733	0.009560229	0.007751461	0.00552785	0.008308582	0.006703381
Anthracene	Aromatic	Aromatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000581002	0	0	0	0	0.001245892	0.002477107	0.00231421	0.001370675	0.001817287	0.00102534	0.000362393	0	0.000948567	0.00122436	0.001560043	0.000671539	0.000967293	0.001850028	0.001496954	0.000454492	0.005571541	0.000870048	0.00220154	0.01014132	0.00239341	0.003376646	0.002671427	0.003987025	0.002098164	0.001934356	0.00176527	0.00177909	0.007658766	0.001036855	0	0	0	0	0	0.000176662	0.000723537	0.000367365	0.000555093	0.00122634	0	0	0.000947717	0	0.00034232	0.000352999	0	0	0.000707751	0.002804017	0.000465529	0.00052947	0.005267412	0.002292358	0.000619854	0	0	0.007525437	0.001019819	0.00160843	0.002524531	0.000523296	0.000963472	0.001389535	0.000723724	0.002211529	0.001685215	0.001198596	0.000238506	0	0	0.000351199
Benzaldehyde	Aromatic	Aromatic	0	0	0.004837728	0	0	0	0	0	0.004430515	0	0	0	0	0	0	0	0	0.003758469	0	0	0.004254499	0.006809984	0	0	0	0	0.006856414	0	0	0	0.008641261	0	0	0	0	0	0.007177242	0	0.010443117	0.002985371	0	0	0.009035816	0	0	0	0	0	0.012109516	0.002904717	0.003133159	0	0	0.002258625	0.002423171	0.000395759	0.002822287	0.003613924	0.002915671	0.003670299	0	0.000766834	0	0	0	0	0.002705916	0	0	0	0	0	0	0	0	0.002547535	0	0	0.005005206	0	0.002619792	0.005907702	0	0	0.003026858	0.000637435	0.003134073	0	0	0.002654309	0.006017294	0	0.007945028	0	0.010330349	0.001199465	0.003359086	0.004202228	0.012062986	0	0.002539384	0.006554167	0.014166396	0	0	0.001694549	0.016322766	0.001451428
Benzene	Aromatic	Aromatic	0	0	0.000766268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001166618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003038585	0	0	0	0	0	0	0	0	0	0	0.002010914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000637903	0	0	0	0	0.004444635	0.001080107	0	0	0	0.003231077	0	0	0	0.002960089	0	0	0	0	0	0	0	0	0	0	0.003229328	0	0	0	0	0	0	0	0	0	0	0.002600521	0
Benzene	Aromatic	Aromatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002762685	0.003632909	0.002641126	0.001023643	0.001820097	0.003613607	0	0	0	0	0	0	0	0.004325758	0.002976732	0.002980954	0	0	0	0.001190287	0	0.002218061	0	0	0	0.001339028	0	0	0.002331777	0.001844263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003769871	0.003788065	0.003321402	0	0	0	0	0	0	0.005028793	0.003936045	0	0	0.002298894	0.001773108	0.001539901	0.00076053	0.004284335
"Benzene, (1,3-dimethylbutyl)-"	Aromatic	Aromatic	0.000607395	0.000789564	0.00066916	0.000693899	0	0.000408256	0.001026119	0.00113039	0.000520967	0.000311985	0.000367713	0	0.000504353	0.000547886	0	0.000370974	0.000633313	0.000350252	0.000277924	0.000255928	0.000186816	0.000520035	0.000519321	0.000497549	0.000348189	0.000301533	0.000311967	0.001015987	0.000630199	0.000444433	0.000443048	0	0	0.000612225	0.000366765	0.000403077	0.0011179	0.000734875	0.000457008	0.000937147	0.002351783	0.000741195	0.000352793	0	0.000347037	0	0.001135821	0.000404133	0	0.000911182	0	0.000667269	0	0	0	0	0.000424727	0	0.000722048	0	0	0.00038169	0	0.00079896	0	0	0	0	0	0	0	0	0	0.000475939	0.001346395	0	0	0.000468623	0.000453256	0.000786427	0	0	0.000851568	0	0	0	0.000751444	0	0.000738543	0	0	0	0	0	0	0	0.001226797	0	0	0	0	0	0.000578761	0.000572345	0.000382866	0	0	0.000483809
"Benzene, (1-methylethyl)-"	Aromatic	Aromatic	0	0	0	0	0	0	0	0	0	0	0	0	0.000363865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001728478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004103887	0	0	0	0	0.004475459	0	0	0	0	0	0	0.002817869	0	0	0	0	0.007131436	0.003458027	0	0	0	0	0	0
"Benzene, 1,2,3,4-tetramethyl-"	Aromatic	Aromatic	0.000742371	0.003011362	0.001066419	0.000398373	0.000457665	0.002103137	0.001175647	0	0.000705827	0.00139325	0.000455914	0.000788314	0.004032016	0.003073895	0.00079671	0.001754607	0	0.000836562	0	0	0	0.000800173	0.001144361	0.000705615	0	0	0	0	0.00063495	0	0.00068471	0.001052181	0.003019917	0.002508234	0	0.001224627	0.000797111	0.002972529	0.002917072	0.002777693	0.006261241	0.003022819	0.00195596	0	0	0.001067167	0.000741705	0.001742371	0.00236319	0.003354257	0.002519789	0.001702218	0.00499323	0.007237143	0.002024235	0.004713378	0.006585337	0.003851202	0.005541302	0.002664227	0.002920252	0.005198581	0.005693392	0.002337094	0.005739227	0.004172067	0.0008433	0	0.00148002	0	0	0.002636127	0	0.003956242	0.001372968	0.002141013	0.002369173	0.001295605	0	0.001896129	0.003021494	0.002286262	0.002393967	0.00523197	0.006254023	0.009944681	0	0.002692603	0.005617345	0.002413008	0.012342703	0.012019822	0.003233612	0.006016325	0.008127716	0.004787884	0.005883617	0.008245881	0.005894414	0.005520329	0.007194921	0.009167792	0.002231822	0.004581934	0.004566144	0.004458475	0	0.004211472
"Benzene, 1,2,3-trimethyl-"	Aromatic	Aromatic	0.002831574	0.002368693	0.003442908	0.001406024	0.001563689	0.002366029	0.002098879	0.002158534	0.003131916	0.001965936	0.002236093	0.002466579	0.001980886	0.003758753	0.002622505	0.00215566	0.002083421	0.002141923	0.001856719	0.001747202	0.004963582	0.002723994	0.002986097	0.003039572	0.005150892	0.005873337	0.001325573	0.002282064	0.00262847	0.004075436	0.002563086	0.003312422	0.001800049	0.001820492	0.00207654	0.004478636	0.004439197	0.005845973	0.007817752	0.005970743	0.00497845	0.002454529	0.004847901	0.003430715	0.002912388	0.004349011	0.002572703	0.002843453	0.004564921	0.005342605	0.004475942	0.003932124	0.004132814	0.006505476	0.003974592	0.003655273	0.004150422	0.003978967	0.004197956	0.004713633	0.003214731	0.004248674	0.004421126	0.00478289	0.005700448	0.004154463	0.002377528	0.003822485	0.003540565	0.004177514	0.004659576	0.003022575	0.002949012	0.002111979	0.003882695	0.004783403	0.003237379	0.003114966	0.002860118	0.004382855	0.004698161	0.004572525	0.006361112	0.004395633	0.005497308	0.005050714	0.006433097	0.00631291	0.003904515	0.003740162	0.006796643	0.006446995	0.003789617	0.010483296	0.008127716	0.004775416	0.008721106	0.006025836	0.006775638	0.007297421	0.008401128	0.007619722	0.00174763	0.003487978	0.004471997	0.004195244	0.002764076	0.003672287
"Benzene, 1,2-diethyl-"	Aromatic	Aromatic	0.001169308	0.002423779	0.001906842	0.001033688	0.001576402	0.000332481	0.001048068	0.001533695	0.001500264	0.001390401	0.001490728	0.00185923	0.005324508	0.002404965	0.002556112	0.000907383	0.001669104	0.001256864	0.001020612	6.93959E-05	0.00111817	0.003219265	0.002782078	0.002261586	8.58962E-05	0.001809198	0.000356534	0.003298051	0.003641855	0.002880911	0.002544778	0.003524984	0.001993442	0.001020824	0.001302557	0.001427565	0.001446789	0.002344995	0.002139186	0.004361238	0.002794651	0.000500579	0.000830383	0	0.00247689	0.002183239	0.000446118	0	0.000369891	0.002818268	0.002171661	0.001400925	0.003201873	0.002210908	0.002630028	0.000189634	0.002587097	0.002190257	0.003068324	0.000614822	0.000352148	0.001659746	0.00291031	0.003804572	0.003102285	0.002675756	0.000198346	0.00284998	0	0.002811483	0	0.00329861	0.002606104	0.00048635	0.003129777	0.001349651	0.000279592	0.000924842	0.002666211	0.004320687	0.001292431	0.003328798	0.002958259	0.003364798	0.002314656	0.002281529	0.002345973	0.001810153	0.002173268	0.000482602	0.002754906	0.001092711	0.0036433	0.003802962	0.00546253	0.002231852	0.003672045	0.003548107	0.003191991	0.002098481	0.001847402	0.003518341	0.002969458	0.004914877	0	0.002188107	0.004759444	0.003147674
"Benzene, 1-ethenyl-3-methyl-"	Aromatic	Aromatic	0.000545775	0.000870357	0.000690347	0.000489504	0.000622933	0.001131983	0	0	0.000473607	0.000461568	0.000607472	0.000752369	0.0012082	0.000777234	0.000602512	0.000843883	0.000672377	0.000422996	0.000277924	0.000912974	0.000548176	0.000600517	0.000912522	0.00076713	0.000871911	0.000591267	0.000429669	0.002782242	0	0.001352623	0.001102127	0.00074928	0.00082713	0.000756516	0.00086972	0.000632607	0	0.001651405	0.001466315	0	0	0	0	0	0	0	0	0	0	0	0	0.002859726	0	0	0.003605206	0	0.00160483	0.001412716	0	0	0	0.001335051	0.001122775	0	0	0	0.001339823	0.000894164	0.000413066	0	0	0.000463738	0	0.00163604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000697514	0.000656965	0	0	0.053988382	0.000905493	0	0	0	0	0	0	0.001334944	0.000611957	0.001572805	0	0
"Benzene, 2-propenyl-"	Aromatic	Aromatic	0.001323357	0.001268812	0.001576676	0.000721238	0.000919144	0.001090229	0.000809372	0.001070747	0.001015963	0.000783525	0.000834808	0.000739974	0.000833096	0.000809088	0.000733637	0.000960856	0.000752872	0.000893142	0.000750862	0.000734563	0.000818173	0.001103527	0.00112025	0.001109082	0.000722276	0.000818072	0.000647931	0.001055064	0.001079889	0.000964403	0.000942849	0.001144291	0.000904487	0.000718757	0.000738925	0.000736176	0.00111628	0.001076716	0	0.000859268	0.001070519	0.000411103	0.000905982	0.001148544	0.000951289	0	0.001026344	0.000869976	0.001497177	0.001384928	0.001259895	0.001360072	0.001387949	0.001347222	0.001174647	0.001177657	0.001438813	0.001434618	0.001329607	0.001518423	0.001071168	0.002746094	0.002639953	0.001346094	0.001558898	0.001341399	0.000847241	0.00094414	0.000905874	0.000876801	0.00121149	0.0009675	0.001100736	0.001097634	0.001303582	0.001017659	0.001169871	0	0.001106478	0.001174978	0.001397222	0.001291281	0.00142783	0.001297295	0.001853951	0.001776458	0.001680669	0.001853145	0.001701779	0	0.001732691	0.001730126	0.00146171	0.001754594	0.001975762	0.001558556	0.001792208	0.001896949	0.002017025	0.001890524	0.002708676	0.002573415	0	0.001506172	0	0.00122896	0	0
"Benzene, butyl-"	Aromatic	Aromatic	0.001687207	0.002937914	0.001735579	0.001497155	0	0.001504671	0.00314146	0	0.001046518	0.001313473	0.001216186	0.000982913	0	0.001352195	0.001548606	0.001231567	0	0	0.000978573	0	0.001209532	0.001671541	0.002726437	0	0	0.001250706	0	0	0.00141399	0.001719764	0.002489855	0.002922725	0.002216589	0.001496849	0	0	0	0	0.005075705	0	0	0	0.002315953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001444907	0	0.001362001	0	0.001929458	0.002153067	0	0.002959745	0	0.003523186	0.002325027	0.00181936	0	0	0	0	0.002240069	0	0	0	0	0	0	0	0	0	0	0	0	0.003852751	0	0	0	0	0	0	0	0.004597789	0.002134006	0.001743905	0.00307483	0.001879861
"Benzene, hexyl-"	Aromatic	Aromatic	0.001327759	0.001184347	0.00129418	0	0	0	0.003470696	0.002201137	0	0	0.00159011	0	0.002023032	0	0	0	0	0	0.002008526	0	0	0.0019037	0	0.002062567	0	0.00085478	0.000786202	0.000995668	0.001216063	0.003829504	0	0.001337368	0	0	0	0	0	0.005367066	0	0.010046424	0	0	0.001307973	0.001168432	0	0.001584158	0.001546359	0	0.001776062	0.004910356	0.002436902	0.001416245	0.002115775	0.003992358	0.002275417	0.001896344	0.001227142	0.004727305	0.0025951	0.00161903	0	0.001778916	0.00200382	0	0	0.002042024	0.00049915	0.002836473	0.000590094	0.000937161	0	0.001821826	0.001400781	0.00182939	0.001308011	0.001558332	0.002751772	0.00322523	0	0	0.001210344	0.00182901	0	0.003714893	0.003471984	0.003030428	0.004545322	0.001549944	0.001495503	0.002171707	0.003824244	0	0	0	0	0	0.002399347	0	0.003015747	0.002987027	0.004761344	0.003216769	0	0	0.002102623	0.003224579	0	0.002258748
"Benzene, propyl-"	Aromatic	Aromatic	0.001965963	0.002074902	0.001959809	0.001228969	0.001296718	0.001731995	0.001577589	0.001746709	0.001695818	0.001286406	0.00159011	0.001233289	0.001531323	0.001470055	0.001638235	0.001565778	0.001373164	0.001258212	0.000625913	0.001198433	0.001240895	0.001795359	0.001891813	0.001827362	0.001247437	0.00125595	0.001199872	0.001533359	0.001694255	0.001637201	0.001596436	0.001842203	0.001398385	0.001344467	0.001244576	0.001265215	0.002576031	0.002823902	0.00422003	0.000737257	0.002809923	0.002007152	0.001571968	0.002287144	0.001578677	0.002515091	0.00199795	0.001681872	0.003331952	0.003406127	0.001939575	0.003387414	0.003173663	0.003451561	0.00288121	0.002679617	0.001507987	0.003869454	0.002946202	0.003260418	0.003214731	0.003212412	0.002798986	0.002953072	0.003722742	0.002816585	0.001852108	0.002836473	0.001413036	0.001667829	0.001890082	0.002484308	0.001851705	0.002141725	0.002494964	0.002100361	0.001589259	0.001888276	0.001660322	0.002782025	0.002899237	0.002780095	0.002445266	0.002664609	0.003561009	0.004110236	0.003665582	0.003778695	0.002707376	0.003360975	0.004023612	0.003988395	0.002604447	0.004024298	0.004405266	0.002905149	0.004569192	0.004103119	0.004758613	0.003970099	0.005480837	0.007680036	0.003234251	0.003440414	0.002855801	0.002072944	0.002093501	0.002171312
Benzofuran	Aromatic	Aromatic	0.001745893	0.002019816	0.001620815	0.001157366	0.001177217	0.001778388	0.002222343	0.001334883	0.002811085	0.001624034	0.001565265	0.001413015	0	0.001783815	0.002390131	0.001453817	0.001163638	0.00115583	0.001013605	0.001023712	0.00116726	0.001779882	0.001947455	0.002315864	0.001215783	0.001076341	0.000988466	0.001500535	0.00154858	0.001624904	0.00141702	0.001587128	0.001405823	0.001139493	0.001248621	0.000962907	0.002316807	0.003236754	0.004064453	0.003738204	0.002214341	0.001692778	0.002903941	0.003231833	0.003266229	0.002532557	0.003051663	0.002722455	0.003405343	0.003129487	0.003083427	0.002672482	0.003060821	0.003260691	0	0.003476631	0.004067414	0.004453523	0.003724732	0.003483989	0.001877305	0.001951627	0.002846696	0.002898721	0	0.002570134	0.002154225	0.00244477	0.004034968	0.002398497	0.002559485	0	0.002623249	0.002706902	0.003941748	0.003184418	0.00266348	0.003183881	0.00239959	0.002704315	0.002846841	0.003091027	0.002941159	0.002781307	0.004540287	0.00395349	0.004013813	0.004050218	0.003536165	0.003274797	0.003697374	0	0	0	0	0.002319131	0	0	0	0	0	0.004563791	0.004009714	0.00185497	0	0	0	0.003686859
Biphenyl	Aromatic	Aromatic	0.000914026	0	0	0	0	0	0	0	0	0	0.000858411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000481358	0	0	0	0	0	0	0	0.001992778	0.001040385	0.002003056	0.002621935	0.001353039	0.001535592	0.001751964	0.001839659	0.001343237	0.001798989	0.001833735	0.001500375	0.002172374	0.002195828	0.002005885	0.00320017	0.002426089	0.002210908	0.002245866	0.002459751	0.002296567	0.002865586	0.00256457	0.002608334	0.002220864	0.001075985	0.001733463	0.001762785	0.002074653	0.00134668	0.001484313	0.001863968	0.001376355	0.001103944	0.001288931	0.001904637	0.002228905	0.001337091	0.002243991	0.002520433	0.002177873	0.002384465	0.001454297	0.001787335	0.002235556	0.002103361	0.001400471	0.001491792	0.003872598	0.002124783	0.00210771	0.002556842	0.001793867	0.002137236	0.002138677	0	0.003014136	0.002112756	0.002290738	0.001633367	0.00273317	0.00227951	0.002565343	0.002665638	0.002666353	0.002955407	0.002156167	0.001564834	0.001757416	0.00110886	0.001244652	0.001763281
Fluorene	Aromatic	Aromatic	0.001458334	0.00168012	0.00092164	0.001991867	0.001226797	0.001082497	0.000824462	0.000887555	0.000713466	0.001058471	0.002323052	0.000721381	0.002753572	0.002978334	0.000957712	0.001087857	0.000748137	0.00254606	0.001074328	0.002227067	0.001854525	0.000402408	0.00026337	0.001409421	0.00093234	0.000873134	0.002125488	0.004861109	0.003119328	0.001271817	0.000741464	0.000905159	0.002409983	0.000476025	0.001098948	0.001819446	0.002916261	0.007051499	0.003092096	0.008774396	0.002703023	0.002128064	0.002351952	0.006364226	0.002082221	0.003335989	0.002901133	0.001609274	0.005181405	0.010235671	0.001873265	0.00757487	0.004555969	0.003165256	0.004004143	0.004246163	0.004371778	0.006698536	0.003816324	0.005309824	0.002368104	0.002521571	0.002305983	0.006757644	0.004401367	0.006654182	0	0.002255672	0.001135533	0.001890206	0.006392151	0.00209786	0.006532405	0.004714769	0.003528381	0.003807751	0.007666702	0.007442838	0.004253819	0.00251781	0.002986563	0.003091027	0.004035544	0.005990508	0.010171133	0.005224876	0.003793878	0.002488961	0.003738758	0.004343414	0.005654807	0.003733429	0.005808796	0.005895596	0.00455945	0.00410212	0.00563325	0.004420268	0.00601191	0.013158044	0.006750528	0.006795425	0.002383132	0.004502662	0.00761024	0.004820417	0.005838905	0.003103957
m-xylene	Aromatic	Aromatic	0.003990611	0.004278337	0.003460564	0	0.003890154	0.003030992	0.00441725	0.002399949	0.00336108	0.002663986	0.007018846	0.005007527	0.005802169	0.002006792	0.003502205	0.00307474	0.00253325	0.002397876	0	9.10514E-05	0	0.003652628	0.003245758	0.002478699	0.005927842	5.72913E-05	0.002171198	0.000261031	0.002945153	0.008221137	0.008128643	0.00843162	0.007259701	0.003802806	0.004193532	0.004450645	0.008554366	0.011609377	0.008829004	0.004620836	0.008811551	0.006045637	0.007655844	0.004110229	0.006573286	0.011387773	0.006541234	0.005820005	0.009805038	0.007642173	0.010244933	0.004664077	0.010339088	0.007746129	0.000254137	0.000276207	0	0	0.000578555	0.01067554	0.004871177	0.00335058	0.011021008	0.01253697	0.006534187	0.00023941	0.005175393	0.000560541	0	0	0.014175611	0.007604744	0.007201077	0.008611518	0.009802699	0.011070935	0.012993662	0.011164257	0.008241017	0.010444251	0	0.005066357	0.000166723	0	0	0.000731483	0.010960091	0.006426044	0.00550684	0.00648065	0.001830562	0.000442548	0	0.00104833	0	0.000593498	0	0.006739422	0.000473903	0.000516113	0.0011004	0	0	0.000149507	0.000156441	0.001029891	0	0.000476523
Naphthalene	Aromatic	Aromatic	0.003154344	0.001590146	0.003389941	0.001809604	0.003330786	0	0.003319796	0	0.00200137	0.001923198	0.001689492	0.002962374	0.005127825	0.000316946	0.002622505	0.002055397	0.001420514	0.002384405	0.001494717	0	0.00370905	0	0	0	0.002963921	0	0.000505089	0.002500892	0.002232616	0.001826919	0.003130626	0.002355894	0	0.002171106	0.002103508	0.002603207	0.004568809	0.005697347	0.006942631	0.000732065	0.004199613	0.002696354	0.004343912	0	0.002830732	0.011108319	0.008265492	0.004343829	0.007896872	0.004529976	0.004724605	0.005021543	0.005557436	0.004119605	0.006914904	0.001401646	0.006363981	0.006954066	0.006304567	0.000693072	0.002957062	0.006632076	0.005470746	0.004166912	0.005332052	0.004207274	0.002351257	0.003498317	0.001373165	0.002795599	0.005460236	0.004099109	0.005040754	0.004000861	0.0067615	0.004444635	0.004341031	0.005471864	0.002108731	0.004289603	0.004401251	0.004042112	0.004069744	0.0032481	0	0.006862004	0.006011555	0.000803256	0	0.005618862	0.006071667	0.005791369	0.003921303	0.007485194	0.008237847	0.00562327	0.007761367	0.005748331	0.007696028	0.008582977	0.007702797	0.00987146	0.008000514	0.005485637	0.006260796	0.003734589	0.006198726	0.003322545
"Naphthalene, 1,2-dihydro-4-methyl-"	Aromatic	Aromatic	0.00440141	0.002313607	0.002118713	0.003436946	0.000906431	0.001534053	0.00164618	0.001164472	0.001787483	0.001510067	0.001111835	0.000834175	0.00289406	0.001239114	0.005311402	0.001905002	0.001574403	0.001038631	0.000817423	0.001956374	0.001949979	0.005246783	0.00168223	0.002279679	0.000976943	0.004575434	0.0024226	0.002500892	0.004813583	0.004444333	0.002746163	0.002639309	0.003733986	0.000569072	0.002292284	0.000939114	0.0033537	0.002262425	0.007195444	0.004672755	0.004856279	0.00313164	0.002075958	0.006513387	0.002599374	0.003231193	0.001929527	0.00182707	0.007647343	0.012379629	0.006349206	0.004000212	0.00338524	0.003324314	0.003900715	0.002473493	0.002766948	0.004124984	0.005174935	0.003800716	0.004073629	0.002037982	0.005804716	0.003496583	0.005235106	0.004594554	0.001747024	0.004673427	0.003333234	0.002223772	0.003557028	0.001877033	0.002057451	0.003510049	0.005698557	0.002141013	0.002222019	0.003032267	0.004326534	0.003994304	0.00525705	0.004042112	0.002821461	0.0032481	0.003783573	0.004475977	0.00491188	0.005204191	0.004917479	0.007911219	0.003262388	0.004115878	0.002253286	0.004809036	0.005198214	0.003603382	0.005007334	0.00553029	0.009105988	0.005690476	0.008972489	0.006292804	0.007565498	0.004264845	0.001788799	0.00824242	0.003205673	0.004022028
"Oxirane, ethenyl-"	Aromatic	Aromatic	0.001277876	0.001674611	0.001385991	0.001900736	0.002199336	0.001084044	0.002290934	0.002598761	0.001894427	0.001937444	0.001739183	0.001022577	0.002135423	0.000966764	0.001925383	0.001017672	0.001811155	0.001832085	0.002487303	0.002165546	0.001949979	0.001276872	0.001737871	0.000951676	0.002215747	0.001914079	0.001805522	0.001281707	0.001575498	0.001696927	0.001684314	0.001266514	0.001576902	0.001564275	0.001779891	0.002057374	0.00111304	0.001899116	0.001406029	0.001513454	0.000980419	0.00113658	0.000757185	0.003646171	0.000753955	0.000806925	0	0.000671539	0.000723635	0.001594137	0.000515562	0.000658758	0.000812458	0.000679178	0.001743501	0.001758928	0.000802415	0.001861718	0.001709713	0.000843982	0.002147244	0.00112089	0.001170485	0.00139501	0.000699953	0.001760366	0.000933935	0.001688377	0.0012695	0.00094828	0.001203614	0.001017186	0.002091741	0.00245406	0.001226814	0.001477028	0.001200773	0.001108156	0.001720918	0.001585288	0.001956111	0.001146789	0.001656967	0.001886621	0.001210743	0.00085688	0.001077681	0.000762527	0.00095587	0.001356455	0.000442235	0.000905129	0.000978863	0.000666021	0.002444923	0.001032388	0.000678076	0.001785947	0.000959556	0.000627654	0	0.000780066	0.001388269	0.001241403	0.001663269	0.002171656	0.001210305	0.001257613
"Phenol, 2,4-bis(1,1-dimethylethyl)-"	Aromatic	Aromatic	0	0	0.014513183	0	0	0.001809317	0.017833616	0.003834238	0	0	0.011702218	0	0	0.001186556	0.000668905	0	0	0	0	0.002768453	0	0.002104904	0.004525514	0.001195927	0	0	0	0.001750624	0.002723475	0.001725034	0	0	0	0	0	0	0	0.003517493	0.005231282	0.0012253	0.005986357	0	0	0.0012513	0.00726736	0	0.007198094	0	0.001893488	0.001936478	0	0.063833177	0	0.130586697	0.026004767	0.018688612	0.031128168	0.010659251	0.004197956	0	0.002478533	0	0.000677482	0	0	0.00438331	0.000895842	0	0	0	0	0	0.000773258	0	0	0	0.009550268	0.001488568	0	0	0	0	0	0	0.000801227	0	0	0	0	0.026887804	0	0	0	0	0	0.00410212	0	0	0	0	0	0	0	0	0	0	0	0
