Well	Well Type	Replicate	Threshold	Ct	Quantity	R Sq	Slope	
A1	NTC	1	Reference	Reference	Reference	Reference	Reference	
A1	NTC	1	0.0861	No Ct	No Ct	0.987	-3.601	
B1	NTC	1	Reference	Reference	Reference	Reference	Reference	
B1	NTC	1	0.0861	37.69	2.278e-001	0.987	-3.601	
C1	Standard	2	Reference	Reference	Reference	Reference	Reference	
C1	Standard	2	0.0861	15.28	3.33e+005	0.987	-3.601	
D1	Standard	2	Reference	Reference	Reference	Reference	Reference	
D1	Standard	2	0.0861	15.44	3.33e+005	0.987	-3.601	
E1	Standard	3	Reference	Reference	Reference	Reference	Reference	
E1	Standard	3	0.0861	16.29	1.67e+005	0.987	-3.601	
F1	Standard	3	Reference	Reference	Reference	Reference	Reference	
F1	Standard	3	0.0861	16.29	1.67e+005	0.987	-3.601	
G1	Standard	4	Reference	Reference	Reference	Reference	Reference	
G1	Standard	4	0.0861	17.91	8.35e+004	0.987	-3.601	
H1	Standard	4	Reference	Reference	Reference	Reference	Reference	
H1	Standard	4	0.0861	18.01	8.35e+004	0.987	-3.601	
A2	Standard	5	Reference	Reference	Reference	Reference	Reference	
A2	Standard	5	0.0861	19.04	4.18e+004	0.987	-3.601	
B2	Standard	5	Reference	Reference	Reference	Reference	Reference	
B2	Standard	5	0.0861	19.04	4.18e+004	0.987	-3.601	
C2	Standard	6	Reference	Reference	Reference	Reference	Reference	
C2	Standard	6	0.0861	19.92	2.09e+004	0.987	-3.601	
D2	Standard	6	Reference	Reference	Reference	Reference	Reference	
D2	Standard	6	0.0861	19.92	2.09e+004	0.987	-3.601	
E2	Standard	7	Reference	Reference	Reference	Reference	Reference	
E2	Standard	7	0.0861	20.40	1.05e+004	0.987	-3.601	
F2	Standard	7	Reference	Reference	Reference	Reference	Reference	
F2	Standard	7	0.0861	20.77	1.05e+004	0.987	-3.601	
G2	Standard	8	Reference	Reference	Reference	Reference	Reference	
G2	Standard	8	0.0861	21.93	5.25e+003	0.987	-3.601	
H2	Standard	8	Reference	Reference	Reference	Reference	Reference	
H2	Standard	8	0.0861	21.96	5.25e+003	0.987	-3.601	
A3	Unknown	9	Reference	Reference	Reference	Reference	Reference	
A3	Unknown	9	0.0861	18.10	6.249e+004	0.987	-3.601	
B3	Unknown	10	Reference	Reference	Reference	Reference	Reference	
B3	Unknown	10	0.0861	17.60	8.598e+004	0.987	-3.601	
C3	Unknown	11	Reference	Reference	Reference	Reference	Reference	
C3	Unknown	11	0.0861	17.53	8.983e+004	0.987	-3.601	
D3	Unknown	12	Reference	Reference	Reference	Reference	Reference	
D3	Unknown	12	0.0861	18.27	5.605e+004	0.987	-3.601	
E3	Unknown	13	Reference	Reference	Reference	Reference	Reference	
E3	Unknown	13	0.0861	18.10	6.267e+004	0.987	-3.601	
F3	Unknown	14	Reference	Reference	Reference	Reference	Reference	
F3	Unknown	14	0.0861	18.34	5.368e+004	0.987	-3.601	
G3	Unknown	15	Reference	Reference	Reference	Reference	Reference	
G3	Unknown	15	0.0861	19.22	3.058e+004	0.987	-3.601	
H3	Unknown	16	Reference	Reference	Reference	Reference	Reference	
H3	Unknown	16	0.0861	19.14	3.218e+004	0.987	-3.601	
A4	Unknown	17	Reference	Reference	Reference	Reference	Reference	
A4	Unknown	17	0.0861	20.30	1.531e+004	0.987	-3.601	
B4	Unknown	18	Reference	Reference	Reference	Reference	Reference	
B4	Unknown	18	0.0861	20.69	1.192e+004	0.987	-3.601	
C4	Unknown	19	Reference	Reference	Reference	Reference	Reference	
C4	Unknown	19	0.0861	18.37	5.263e+004	0.987	-3.601	
D4	Unknown	20	Reference	Reference	Reference	Reference	Reference	
D4	Unknown	20	0.0861	20.88	1.056e+004	0.987	-3.601	
E4	Unknown	21	Reference	Reference	Reference	Reference	Reference	
E4	Unknown	21	0.0861	17.55	8.908e+004	0.987	-3.601	
F4	Unknown	22	Reference	Reference	Reference	Reference	Reference	
F4	Unknown	22	0.0861	18.34	5.362e+004	0.987	-3.601	
G4	Unknown	23	Reference	Reference	Reference	Reference	Reference	
G4	Unknown	23	0.0861	17.89	7.167e+004	0.987	-3.601	
H4	Unknown	24	Reference	Reference	Reference	Reference	Reference	
H4	Unknown	24	0.0861	17.48	9.268e+004	0.987	-3.601	
A5	Unknown	25	Reference	Reference	Reference	Reference	Reference	
A5	Unknown	25	0.0861	17.13	1.163e+005	0.987	-3.601	
B5	Unknown	26	Reference	Reference	Reference	Reference	Reference	
B5	Unknown	26	0.0861	17.17	1.130e+005	0.987	-3.601	
C5	Unknown	27	Reference	Reference	Reference	Reference	Reference	
C5	Unknown	27	0.0861	18.65	4.407e+004	0.987	-3.601	
D5	Unknown	28	Reference	Reference	Reference	Reference	Reference	
D5	Unknown	28	0.0861	18.11	6.198e+004	0.987	-3.601	
E5	Unknown	29	Reference	Reference	Reference	Reference	Reference	
E5	Unknown	29	0.0861	18.37	5.267e+004	0.987	-3.601	
F5	Unknown	30	Reference	Reference	Reference	Reference	Reference	
F5	Unknown	30	0.0861	17.84	7.403e+004	0.987	-3.601	
G5	Unknown	31	Reference	Reference	Reference	Reference	Reference	
G5	Unknown	31	0.0861	17.89	7.151e+004	0.987	-3.601	
H5	Unknown	32	Reference	Reference	Reference	Reference	Reference	
H5	Unknown	32	0.0861	17.69	8.103e+004	0.987	-3.601	
A6	Unknown	33	Reference	Reference	Reference	Reference	Reference	
A6	Unknown	33	0.0861	17.70	8.070e+004	0.987	-3.601	
B6	Unknown	34	Reference	Reference	Reference	Reference	Reference	
B6	Unknown	34	0.0861	17.93	6.977e+004	0.987	-3.601	
C6	Unknown	35	Reference	Reference	Reference	Reference	Reference	
C6	Unknown	35	0.0861	17.83	7.424e+004	0.987	-3.601	
D6	Unknown	36	Reference	Reference	Reference	Reference	Reference	
D6	Unknown	36	0.0861	17.88	7.189e+004	0.987	-3.601	
E6	Unknown	37	Reference	Reference	Reference	Reference	Reference	
E6	Unknown	37	0.0861	17.55	8.876e+004	0.987	-3.601	
F6	Unknown	38	Reference	Reference	Reference	Reference	Reference	
F6	Unknown	38	0.0861	17.62	8.516e+004	0.987	-3.601	
G6	Unknown	39	Reference	Reference	Reference	Reference	Reference	
G6	Unknown	39	0.0861	18.31	5.474e+004	0.987	-3.601	
H6	Unknown	40	Reference	Reference	Reference	Reference	Reference	
H6	Unknown	40	0.0861	19.59	2.418e+004	0.987	-3.601	
A7	Unknown	41	Reference	Reference	Reference	Reference	Reference	
