Well	Well Type	Replicate	Threshold	Ct	Quantity	R Sq	Slope	
A1	NTC	1	Reference	Reference	Reference	Reference	Reference	
A1	NTC	1	0.5099	No Ct	No Ct	0.996	-3.755	
B1	NTC	1	Reference	Reference	Reference	Reference	Reference	
B1	NTC	1	0.5099	No Ct	No Ct	0.996	-3.755	
C1	Standard	2	Reference	Reference	Reference	Reference	Reference	
C1	Standard	2	0.5099	18.49	3.33e+005	0.996	-3.755	
D1	Standard	2	Reference	Reference	Reference	Reference	Reference	
D1	Standard	2	0.5099	18.43	3.33e+005	0.996	-3.755	
E1	Standard	3	Reference	Reference	Reference	Reference	Reference	
E1	Standard	3	0.5099	19.53	1.67e+005	0.996	-3.755	
F1	Standard	3	Reference	Reference	Reference	Reference	Reference	
F1	Standard	3	0.5099	19.63	1.67e+005	0.996	-3.755	
G1	Standard	4	Reference	Reference	Reference	Reference	Reference	
G1	Standard	4	0.5099	20.86	8.35e+004	0.996	-3.755	
H1	Standard	4	Reference	Reference	Reference	Reference	Reference	
H1	Standard	4	0.5099	20.97	8.35e+004	0.996	-3.755	
A2	Standard	5	Reference	Reference	Reference	Reference	Reference	
A2	Standard	5	0.5099	22.26	4.18e+004	0.996	-3.755	
B2	Standard	5	Reference	Reference	Reference	Reference	Reference	
B2	Standard	5	0.5099	22.10	4.18e+004	0.996	-3.755	
D2	Standard	6	Reference	Reference	Reference	Reference	Reference	
D2	Standard	6	0.5099	23.11	2.09e+004	0.996	-3.755	
E2	Standard	7	Reference	Reference	Reference	Reference	Reference	
E2	Standard	7	0.5099	23.96	1.05e+004	0.996	-3.755	
F2	Standard	7	Reference	Reference	Reference	Reference	Reference	
F2	Standard	7	0.5099	24.01	1.05e+004	0.996	-3.755	
G2	Standard	8	Reference	Reference	Reference	Reference	Reference	
G2	Standard	8	0.5099	25.32	5.25e+003	0.996	-3.755	
H2	Standard	8	Reference	Reference	Reference	Reference	Reference	
H2	Standard	8	0.5099	25.33	5.25e+003	0.996	-3.755	
A3	Unknown	9	Reference	Reference	Reference	Reference	Reference	
A3	Unknown	9	0.5099	21.98	4.050e+004	0.996	-3.755	
B3	Unknown	10	Reference	Reference	Reference	Reference	Reference	
B3	Unknown	10	0.5099	22.31	3.324e+004	0.996	-3.755	
C3	Unknown	11	Reference	Reference	Reference	Reference	Reference	
C3	Unknown	11	0.5099	22.86	2.363e+004	0.996	-3.755	
D3	Unknown	12	Reference	Reference	Reference	Reference	Reference	
D3	Unknown	12	0.5099	22.92	2.278e+004	0.996	-3.755	
E3	Unknown	13	Reference	Reference	Reference	Reference	Reference	
E3	Unknown	13	0.5099	22.11	3.761e+004	0.996	-3.755	
F3	Unknown	14	Reference	Reference	Reference	Reference	Reference	
F3	Unknown	14	0.5099	21.80	4.531e+004	0.996	-3.755	
G3	Unknown	15	Reference	Reference	Reference	Reference	Reference	
G3	Unknown	15	0.5099	23.87	1.273e+004	0.996	-3.755	
H3	Unknown	16	Reference	Reference	Reference	Reference	Reference	
H3	Unknown	16	0.5099	23.76	1.361e+004	0.996	-3.755	
A4	Unknown	17	Reference	Reference	Reference	Reference	Reference	
A4	Unknown	17	0.5099	24.04	1.148e+004	0.996	-3.755	
B4	Unknown	18	Reference	Reference	Reference	Reference	Reference	
B4	Unknown	18	0.5099	24.72	7.571e+003	0.996	-3.755	
C4	Unknown	19	Reference	Reference	Reference	Reference	Reference	
C4	Unknown	19	0.5099	23.77	1.354e+004	0.996	-3.755	
D4	Unknown	20	Reference	Reference	Reference	Reference	Reference	
D4	Unknown	20	0.5099	23.98	1.188e+004	0.996	-3.755	
E4	Unknown	21	Reference	Reference	Reference	Reference	Reference	
E4	Unknown	21	0.5099	22.95	2.245e+004	0.996	-3.755	
F4	Unknown	22	Reference	Reference	Reference	Reference	Reference	
F4	Unknown	22	0.5099	23.17	1.956e+004	0.996	-3.755	
G4	Unknown	23	Reference	Reference	Reference	Reference	Reference	
G4	Unknown	23	0.5099	23.14	1.990e+004	0.996	-3.755	
H4	Unknown	24	Reference	Reference	Reference	Reference	Reference	
H4	Unknown	24	0.5099	23.36	1.742e+004	0.996	-3.755	
A5	Unknown	25	Reference	Reference	Reference	Reference	Reference	
A5	Unknown	25	0.5099	22.68	2.644e+004	0.996	-3.755	
B5	Unknown	26	Reference	Reference	Reference	Reference	Reference	
B5	Unknown	26	0.5099	22.96	2.222e+004	0.996	-3.755	
C5	Unknown	27	Reference	Reference	Reference	Reference	Reference	
C5	Unknown	27	0.5099	22.87	2.347e+004	0.996	-3.755	
D5	Unknown	28	Reference	Reference	Reference	Reference	Reference	
D5	Unknown	28	0.5099	22.54	2.880e+004	0.996	-3.755	
E5	Unknown	29	Reference	Reference	Reference	Reference	Reference	
E5	Unknown	29	0.5099	23.70	1.413e+004	0.996	-3.755	
