Well	Well Type	Replicate	Threshold	Ct	Quantity	R Sq	Slope	
C6	Unknown	35	0.6365	23.23	2.059e+004	0.992	-3.717	
D6	Unknown	36	Reference	Reference	Reference	Reference	Reference	
D6	Unknown	36	0.6365	23.00	2.377e+004	0.992	-3.717	
E6	Unknown	37	Reference	Reference	Reference	Reference	Reference	
E6	Unknown	37	0.6365	22.66	2.934e+004	0.992	-3.717	
F6	Unknown	38	Reference	Reference	Reference	Reference	Reference	
F6	Unknown	38	0.6365	22.63	2.988e+004	0.992	-3.717	
G6	Unknown	39	Reference	Reference	Reference	Reference	Reference	
G6	Unknown	39	0.6365	24.49	9.451e+003	0.992	-3.717	
H6	Unknown	40	Reference	Reference	Reference	Reference	Reference	
H6	Unknown	40	0.6365	24.66	8.500e+003	0.992	-3.717	
A7	Unknown	41	Reference	Reference	Reference	Reference	Reference	
A7	Unknown	41	0.6365	25.23	5.976e+003	0.992	-3.717	
B7	Unknown	42	Reference	Reference	Reference	Reference	Reference	
B7	Unknown	42	0.6365	24.93	7.198e+003	0.992	-3.717	
C7	Unknown	43	Reference	Reference	Reference	Reference	Reference	
C7	Unknown	43	0.6365	24.32	1.050e+004	0.992	-3.717	
D7	Unknown	44	Reference	Reference	Reference	Reference	Reference	
D7	Unknown	44	0.6365	24.88	7.391e+003	0.992	-3.717	
E7	Unknown	45	Reference	Reference	Reference	Reference	Reference	
E7	Unknown	45	0.6365	24.21	1.118e+004	0.992	-3.717	
F7	Unknown	46	Reference	Reference	Reference	Reference	Reference	
F7	Unknown	46	0.6365	23.66	1.573e+004	0.992	-3.717	
G7	Unknown	47	Reference	Reference	Reference	Reference	Reference	
G7	Unknown	47	0.6365	23.89	1.366e+004	0.992	-3.717	
H7	Unknown	48	Reference	Reference	Reference	Reference	Reference	
H7	Unknown	48	0.6365	24.86	7.479e+003	0.992	-3.717	
A8	Unknown	49	Reference	Reference	Reference	Reference	Reference	
A8	Unknown	49	0.6365	24.98	6.945e+003	0.992	-3.717	
B8	Unknown	50	Reference	Reference	Reference	Reference	Reference	
B8	Unknown	50	0.6365	24.38	1.007e+004	0.992	-3.717	
C8	Unknown	51	Reference	Reference	Reference	Reference	Reference	
C8	Unknown	51	0.6365	22.95	2.442e+004	0.992	-3.717	
D8	Unknown	52	Reference	Reference	Reference	Reference	Reference	
D8	Unknown	52	0.6365	23.71	1.528e+004	0.992	-3.717	
E8	Unknown	53	Reference	Reference	Reference	Reference	Reference	
E8	Unknown	53	0.6365	22.83	2.641e+004	0.992	-3.717	
F8	Unknown	54	Reference	Reference	Reference	Reference	Reference	
F8	Unknown	54	0.6365	23.29	1.979e+004	0.992	-3.717	
G8	Unknown	55	Reference	Reference	Reference	Reference	Reference	
G8	Unknown	55	0.6365	23.46	1.789e+004	0.992	-3.717	
H8	Unknown	56	Reference	Reference	Reference	Reference	Reference	
H8	Unknown	56	0.6365	23.86	1.389e+004	0.992	-3.717	
A9	Unknown	57	Reference	Reference	Reference	Reference	Reference	
A9	Unknown	57	0.6365	24.51	9.327e+003	0.992	-3.717	
B9	Unknown	58	Reference	Reference	Reference	Reference	Reference	
B9	Unknown	58	0.6365	24.90	7.334e+003	0.992	-3.717	
C9	Unknown	59	Reference	Reference	Reference	Reference	Reference	
