Sample,ID,mass,%N,%C
Zak_PP_Manistee_gradient,50-5-ms-b,0.409,0.0692,1.7953
Zak_PP_Manistee_gradient,58-1-ms-a,0.4078,0.087,1.9448
Zak_PP_Manistee_gradient,58-1-ms-b,0.4014,0.07714,1.7202
Zak_PP_Manistee_gradient,58-2-ms-a,0.4061,0.12843,2.6409
Zak_PP_Manistee_gradient,58-2-ms-b,0.4086,0.1297,2.7057
Zak_PP_Manistee_gradient,58-3-ms-a,0.4018,0.13683,2.8824
Zak_PP_Manistee_gradient,58-3-ms-b,0.4075,0.12665,2.6595
Zak_PP_Manistee_gradient,58-4-ms-a,0.4039,0.08605,1.5289
Zak_PP_Manistee_gradient,58-4-ms-b,0.4022,0.07777,1.3644
Zak_PP_Manistee_gradient,58-5-ms-a,0.4048,0.08092,1.7948
Zak_PP_Manistee_gradient,58-5-ms-b,0.4082,0.07614,1.6887
Zak_PP_Manistee_gradient,6-1-ms-a,0.4076,0.17407,2.7244
Zak_PP_Manistee_gradient,6-1-ms-b,0.4057,0.14589,2.2764
Zak_PP_Manistee_gradient,6-2-ms-a,0.4069,0.20835,2.827
Zak_PP_Manistee_gradient,6-2-ms-b,0.4034,0.21147,2.9563
Zak_PP_Manistee_gradient,6-3-ms-a,0.4029,0.14902,1.8686
Zak_PP_Manistee_gradient,6-3-ms-b,0.4054,0.15537,2.0782
Zak_PP_Manistee_gradient,6-4-ms-a,0.4088,0.13916,2.2226
Zak_PP_Manistee_gradient,6-4-ms-b,0.4042,0.16542,2.5613
Zak_PP_Manistee_gradient,6-5-ms-a,0.4084,0.15729,2.1268
Zak_PP_Manistee_gradient,6-5-ms-b,0.4058,0.15624,2.1227
Zak_PP_Manistee_gradient,7-1-ms-a,0.4087,0.12064,2.1205
Zak_PP_Manistee_gradient,7-1-ms-b,0.4081,0.11925,2.0778
Zak_PP_Manistee_gradient,7-2-ms-a,0.4064,0.16292,2.5177
Zak_PP_Manistee_gradient,7-2-ms-b,0.4026,0.16932,2.6348
Zak_PP_Manistee_gradient,7-3-ms-a,0.4,0.11453,1.9022
Zak_PP_Manistee_gradient,7-3-ms-b,0.4038,0.11868,1.955
Zak_PP_Manistee_gradient,7-4-ms-a,0.4086,0.12613,1.9957
Zak_PP_Manistee_gradient,7-4-ms-b,0.4076,0.13289,2.1095
Zak_PP_Manistee_gradient,7-5-ms-a,0.4054,0.12901,2.1134
Zak_PP_Manistee_gradient,7-5-ms-b,0.4094,0.11761,1.8768
Zak_PP_Manistee_gradient,9-1-ms-a,0.4003,0.11745,2.273
Zak_PP_Manistee_gradient,9-1-ms-b,0.4025,0.13159,2.487
Zak_PP_Manistee_gradient,9-2-ms-a,0.4015,0.12996,2.608
Zak_PP_Manistee_gradient,9-2-ms-b,0.4002,0.13046,2.6003
Zak_PP_Manistee_gradient,9-3-ms-a,0.4058,0.11922,2.5089
Zak_PP_Manistee_gradient,9-3-ms-b,0.4058,0.1188,2.4943
Zak_PP_Manistee_gradient,9-4-ms-a,0.4041,0.12212,2.8004
Zak_PP_Manistee_gradient,9-4-ms-b,0.4003,0.12974,2.9387
Zak_PP_Manistee_gradient,9-5-ms-a,0.4049,0.10934,2.3639
Zak_PP_Manistee_gradient,9-5-ms-b,0.4043,0.11223,2.4241
