Zak_WA_Manistee_soil_2019,ms_03_01_a,0.4030,0.10472,2.4493,7/25/2019 10:40:28 AM
Zak_WA_Manistee_soil_2019,ms_03_01_b,0.4005,0.09836,2.4133,7/25/2019 10:45:53 AM
Zak_WA_Manistee_soil_2019,ms_06_07_a,0.4035,0.14848,2.2169,7/25/2019 10:51:18 AM
Zak_WA_Manistee_soil_2019,ms_06_07_b,0.4022,0.14880,2.2349,7/25/2019 10:56:43 AM
Zak_WA_Manistee_soil_2019,ms_07_13_a,0.4067,0.09618,1.7166,7/25/2019 11:02:08 AM
Zak_WA_Manistee_soil_2019,ms_07_13_b,0.4066,0.09332,1.7300,7/25/2019 11:07:33 AM
Zak_WA_Manistee_soil_2019,ms_09_19_a,0.4042,0.11074,2.4738,7/25/2019 11:12:58 AM
Zak_WA_Manistee_soil_2019,ms_09_19_b,0.4049,0.10924,2.4627,7/25/2019 11:18:22 AM
Zak_WA_Manistee_soil_2019,ms_20_25_a,0.4036,0.15061,4.0353,7/25/2019 11:23:47 AM
Blank,Blank,1.0000,0.00319,0.01061,7/25/2019 11:29:13 AM
Zak_WA_Manistee_soil_2019,ms_20_25_b,0.4048,0.13717,3.6232,7/25/2019 11:34:38 AM
Zak_WA_Manistee_soil_2019,ms_22_31_a,0.4076,0.52467,6.7465,7/25/2019 11:40:02 AM
Zak_WA_Manistee_soil_2019,ms_22_31_b,0.4076,0.51974,6.6951,7/25/2019 11:45:26 AM
Zak_WA_Manistee_soil_2019,ms_24_37_a,0.4031,0.17789,2.5794,7/25/2019 11:50:51 AM
Zak_WA_Manistee_soil_2019,ms_24_37_b,0.4076,0.17350,2.5116,7/25/2019 11:56:17 AM
Zak_WA_Manistee_soil_2019,ms_31_43_a,0.4064,0.11826,3.4222,7/25/2019 12:01:42 PM
Zak_WA_Manistee_soil_2019,ms_31_43_b,0.4083,0.11893,3.4006,7/25/2019 12:07:07 PM
Zak_WA_Manistee_soil_2019,ms_41_49_a,0.4053,0.07586,1.1773,7/25/2019 12:12:33 PM
Zak_WA_Manistee_soil_2019,ms_41_49_b,0.4073,0.07368,1.1161,7/25/2019 12:17:59 PM
soil standard - lot 1018,Soil standard,0.4044,0.09230,0.95779,7/25/2019 12:23:24 PM
Zak_WA_Manistee_soil_2019,ms_50_55_a,0.4083,0.08344,2.0583,7/25/2019 12:28:49 PM
Zak_WA_Manistee_soil_2019,ms_50_55_b,0.4057,0.08657,2.0958,7/25/2019 12:34:13 PM
Zak_WA_Manistee_soil_2019,ms_58_61_a,0.4080,0.08400,1.8514,7/25/2019 12:39:39 PM
Zak_WA_Manistee_soil_2019,ms_58_61_b,0.4076,0.08670,1.9070,7/25/2019 12:45:04 PM
Zak_WA_Manistee_soil_2019,ms_100_67_a,0.4076,0.11339,1.7801,7/25/2019 12:50:28 PM
Zak_WA_Manistee_soil_2019,ms_100_67_b,0.4051,0.11090,1.7044,7/25/2019 12:55:53 PM
Zak_WA_Manistee_soil_2019,ms_24_38_a,0.4087,0.16768,2.4048,7/25/2019 1:01:18 PM
Zak_WA_Manistee_soil_2019,ms_24_38_b,0.4047,0.15959,2.3139,7/25/2019 1:06:43 PM
Zak_WA_Manistee_soil_2019,ms_31_44_a,0.4038,0.08516,2.2607,7/25/2019 1:12:08 PM
Blank,Blank,1.0000,0.00283,0.01100,7/25/2019 1:17:33 PM
Zak_WA_Manistee_soil_2019,ms_31_44_b,0.4063,0.07590,2.0193,7/25/2019 1:22:59 PM
Zak_WA_Manistee_soil_2019,ms_41_50_a,0.4067,0.10266,1.7344,7/25/2019 1:28:24 PM
Zak_WA_Manistee_soil_2019,ms_41_50_b,0.4021,0.10139,1.7238,7/25/2019 1:33:49 PM
Zak_WA_Manistee_soil_2019,ms_50_56_a,0.4043,0.11718,3.0215,7/25/2019 1:39:13 PM
